"Fishbase_name","Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group","highlight"
"Acanthocybium_solandri","Perciformes","Scombridae",3.0899051114394,2.26717172840301,2.08457627793433,2.0386201619497,2.24831664034178,1.76402660769204,1.62726341656822,1.60734777676841,4.12548126570059,"Surface",FALSE
"Alosa_aestivalis","Clupeiformes","Clupeidae",2.32598746621444,1.79858159472855,1.40671045860979,1.48387245422267,1.39672227850377,0.791690649020118,1.30792370361188,0.655138434811382,2.22081389678549,"Surface",FALSE
"Alosa_agone","Clupeiformes","Clupeidae",2.41247734766524,1.80373017097454,1.42586014507784,1.56761444273084,1.55315454816963,0.889861721258188,1.27646180417324,0.670245853074124,2.2895889525426,"Surface",FALSE
"Alosa_alosa","Clupeiformes","Clupeidae",2.46416154169893,1.91561086266147,1.57460994134019,1.65050179487837,1.61930207587561,1.04296907339318,1.39164070349239,0.8494194137969,2.58658730467176,"Surface",FALSE
"Alosa_caspia_caspia","Clupeiformes","Clupeidae",2.21698355938209,1.67513650446799,1.34419571587143,1.42797271360821,1.42716140292597,0.764176132390331,1.15715443990628,0.580924975675619,1.89226160691554,"Surface",FALSE
"Alosa_chrysochloris","Clupeiformes","Clupeidae",2.41993923507764,1.85266294434457,1.45757914699576,1.5864747785714,1.61637047229127,1.00518051250378,1.38845645270027,0.770115294787102,2.35939907218089,"Surface",FALSE
"Alosa_fallax","Clupeiformes","Clupeidae",2.31139356500052,1.72238709417712,1.32837960343874,1.47755533219898,1.46642272243379,0.701567985055927,1.22010808804006,0.69284691927723,2.06707085604537,"Surface",FALSE
"Alosa_mediocris","Clupeiformes","Clupeidae",2.3920106831955,1.85817613798234,1.44294986957786,1.56026539786271,1.5643109099606,0.996073654485275,1.38524868240322,0.7481880270062,2.38911290219226,"Surface",FALSE
"Alosa_pseudoharengus","Clupeiformes","Clupeidae",2.36962397664063,1.88024177589548,1.43312951758049,1.56796690682315,1.49679131570004,0.843855422623161,1.37876117531637,0.721810615212547,2.32083147344525,"Surface",FALSE
"Alosa_sapidissima","Clupeiformes","Clupeidae",2.38514134760466,1.82639878218762,1.41396997174806,1.56407397897715,1.59050746200858,0.791690649020118,1.32159843046534,0.771587480881255,2.25285303097989,"Surface",FALSE
"Amblygaster_clupeoides","Clupeiformes","Clupeidae",2.1941534361651,1.53869937954241,1.29070224328785,1.33102217104183,1.16524432612531,0.576341350205793,1.04532297878666,0.620136054973757,1.73933496019608,"Surface",FALSE
"Anchoa_cayorum","Clupeiformes","Engraulidae",1.83884909073726,1.13767053723676,0.765668554759014,0.929418925714293,1.10277661488344,0.385606273598312,0.799340549453582,-0.0604807473813815,0.495544337546448,"Surface",FALSE
"Anchoa_choerostoma","Clupeiformes","Engraulidae",1.69090455405497,0.937016107464814,0.651278013998144,0.826074802700826,1.03059972196595,0.257678574869184,0.557507201905658,-0.259637310505756,0.0606978403536116,"Surface",FALSE
