"Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group"
"Stomiiformes","Stomiidae",143.37,7.63,5.81,11.61,17.65,4.78,2.32,0.63,3.46,"Deep-sea"
"Stomiiformes","Stomiidae",133.8,13.26,7.87,11.79,19.26,6.08,3.53,0.73,8.31,"Deep-sea"
"Stomiiformes","Stomiidae",100.65,6.5,4.75,8.25,13.05,4,1.9,0.55,1.61,"Deep-sea"
"Perciformes","Scombridae",408.57,106.46,67.44,55.82,55.26,26.38,9,12.89,1431.57,"Surface"
"Perciformes","Scombridae",473.33,119.6,78.73,70.54,62.75,37.6,10.71,13.11,2518,"Surface"
"Perciformes","Scombridae",455.33,115.4,75.4,59.73,63.1,30.65,8.83,11.12,1503,"Surface"
"Stomiiformes","Stomiidae",220,20.1,9.5,16.3,26.6,7.1,4,1,20.3,"Deep-sea"
"Lophiiformes","Antennariidae",94.99,57.74,34.17,48.45,28.81,20.93,11.74,3.75,106.05,"Deep-sea"
"Clupeiformes","Clupeidae",44.33,7.97,4.1,6.27,5.53,1.53,3.4,0.67,0.7,"Surface"
"Stomiiformes","Gonostomatidae",50.72,8.29,3.26,6.64,11.06,2.73,3.06,0.68,0.62,"Deep-sea"
"Stomiiformes","Gonostomatidae",114.97,18.97,7.17,13.7,22.93,4.9,6.77,1.77,7.61,"Deep-sea"
"Stomiiformes","Gonostomatidae",163.7,21.3,10.22,16.23,31.88,8.65,7.49,1.98,13.21,"Deep-sea"
"Perciformes","Scombridae",459,84.8,55.2,61.17,57.56,31.15,17.61,13.2,950,"Surface"
"Stomiiformes","Stomiidae",169.14,10.69,14.38,17.3,28.87,9.16,11.54,5.55,39.68,"Deep-sea"
"Perciformes","Scombridae",601.35,156.27,114.77,92.69,96.12,49.97,14.78,24.55,4760.67,"Surface"
"Lophiiformes","Ogcocephalidae",65.23,9.78,46.43,10.03,14.27,20.57,4.32,2.12,15.07,"Deep-sea"
"Clupeiformes","Clupeidae",171.24,42.42,17.87,27.75,24.02,7.09,12.2,4.55,41.77,"Surface"
"Clupeiformes","Clupeidae",143.9,39.8,18.77,27,21.2,4.57,13.3,3.7,49.57,"Surface"
"Clupeiformes","Clupeidae",109.47,39.5,15.73,24.1,14.83,4.4,12.1,2.53,34.77,"Surface"
"Clupeiformes","Clupeidae",76.72,23.76,9.62,15.01,10.9,2.92,7.65,1.23,9.17,"Surface"
"Clupeiformes","Clupeidae",116.01,30.79,16.17,21.03,15.27,3.76,10.14,2.31,30.07,"Surface"
"Stomiiformes","Stomiidae",310,59.37,26.67,26.6,54.4,19.37,17.13,5.6,241.2,"Deep-sea"
"Clupeiformes","Clupeidae",154.8,57.69,24.09,30.83,28.01,5.65,15.03,3.81,88.87,"Surface"
"Lophiiformes","Himantolophidae",102.81,66.44,50.37,62.35,41.54,43.26,15.77,3.27,158.5,"Deep-sea"
"Lophiiformes","Antennariidae",40.98,22.61,18.84,14.67,13.11,7.42,6.87,2.08,8.2,"Deep-sea"
"Lophiiformes","Antennariidae",112.04,61.7,34.48,43.98,34.42,22.26,16.95,5.01,123,"Deep-sea"
"Stomiiformes","Phosichthyidae",38.17,12.77,4.67,10,5.07,3.35,3.97,1,1.03,"Deep-sea"
"Stomiiformes","Stomiidae",289.8,9.57,9.7,11.43,20.93,6.23,2.67,0.67,6.98,"Deep-sea"
"Stomiiformes","Stomiidae",366.67,14.44,13.36,14.78,25.4,9.62,3.62,1.03,22.45,"Deep-sea"
"Stomiiformes","Stomiidae",256.41,7.07,8.77,12.3,18.5,6.43,2.37,0.6,4.71,"Deep-sea"
"Clupeiformes","Clupeidae",50.3,8.5,5.5,6.3,5.83,1.73,3.27,1,1.3,"Surface"
"Perciformes","Scombridae",582.17,156.48,121.05,84.55,82.16,35.2,14.25,18.66,4229.4,"Surface"
"Clupeiformes","Clupeidae",178.74,56.33,21.94,26.83,21.85,4.81,16.21,3.55,88.4,"Surface"
"Stomiiformes","Stomiidae",287.86,30.22,23.8,21.48,27.2,23.35,4.95,1.87,85.43,"Deep-sea"
"Clupeiformes","Clupeidae",113.05,25.5,13.5,16,16.45,2.85,9.25,2.1,19.15,"Surface"
"Lophiiformes","Antennariidae",73.88,48.36,26.55,32.58,24.7,14.83,11.54,3.29,37.75,"Deep-sea"
"Lophiiformes","Lophiidae",122.38,22.71,64.1,20.85,46.25,60.83,5.06,3.66,82.77,"Deep-sea"
"Lophiiformes","Lophiidae",187.84,49.81,115.85,39.5,69.87,94.96,14.99,7.25,362.47,"Deep-sea"
"Lophiiformes","Lophiidae",147.13,39.49,71.26,35.52,62.17,69.87,10.5,4.01,144.37,"Deep-sea"
"Lophiiformes","Lophiidae",161.03,28.3,88.3,29.57,47.6,72.23,8,7.33,140.03,"Deep-sea"
"Lophiiformes","Lophiidae",206.25,31.52,84.19,31.75,68.38,80.02,8.88,5.02,235.65,"Deep-sea"
"Lophiiformes","Lophiidae",203.32,34.35,101.39,32.77,60.77,85.19,8.69,5.58,221.23,"Deep-sea"
"Lophiiformes","Lophiidae",237.83,46.3,120.44,49.2,72.36,103.34,11.74,6.66,389.5,"Deep-sea"
"Lophiiformes","Lophiidae",245.53,30.62,120.5,26.05,86.88,120.5,9.32,4.47,418.75,"Deep-sea"
"Lophiiformes","Lophiidae",155.2,30.13,73.8,26.39,54.47,72,6.57,3.6,95.8,"Deep-sea"
"Stomiiformes","Stomiidae",158.67,31.23,13.1,18.27,39.53,4.93,4.43,1.7,30.4,"Deep-sea"
"Lophiiformes","Ogcocephalidae",66.07,13.27,35.13,14.5,7.57,10.22,3.98,2.42,8.73,"Deep-sea"
"Stomiiformes","Gonostomatidae",57.5,17.53,7.77,12.7,16.27,5.9,6.5,1.33,3.86,"Deep-sea"
"Stomiiformes","Sternoptychidae",21.49,5,1.9,4.62,5.01,1.38,1.76,0.53,0.12,"Deep-sea"
"Stomiiformes","Sternoptychidae",34.77,8.53,4.07,6.87,5.33,2.53,3.03,1.03,0.56,"Deep-sea"
"Stomiiformes","Sternoptychidae",49.2,13.15,4.35,9.25,8.75,3.1,4.25,1.6,1.45,"Deep-sea"
"Lophiiformes","Melanocetidae",87.03,51.99,28.03,49.87,34.91,18.74,12.88,3.45,50.13,"Deep-sea"
"Lophiiformes","Melanocetidae",63.69,56.53,28.3,44.44,33.52,14.68,12.43,1.52,37.8,"Deep-sea"
"Stomiiformes","Stomiidae",121.63,12.73,5.2,9,15.63,3.73,3.17,1.2,3.27,"Deep-sea"
"Clupeiformes","Clupeidae",44.61,10.12,5.51,6.1,4.28,2.33,4.11,0.87,0.98,"Surface"
"Clupeiformes","Clupeidae",39.42,10.79,5.63,6.04,4.04,2.47,4.32,0.75,1.02,"Surface"
"Clupeiformes","Clupeidae",180,70.73,22.7,29.37,18.2,6.97,20.53,3.27,97.9,"Surface"
"Clupeiformes","Clupeidae",137.15,55.15,22.74,23.65,11.64,6.39,15.69,3.95,68.87,"Surface"
"Clupeiformes","Clupeidae",197.08,84.93,26.47,33.41,17.61,8.16,23.56,5.34,166.37,"Surface"
"Stomiiformes","Stomiidae",140.23,21.77,12.1,16.97,23.33,8.07,6.43,1.37,13.04,"Deep-sea"
"Stomiiformes","Stomiidae",240.87,26.53,18.46,17.16,22.97,17.04,4.9,2.17,48.51,"Deep-sea"
"Lophiiformes","Ogcocephalidae",152.49,33.85,95.7,33.46,17.93,25.23,12.9,7.31,129.3,"Deep-sea"
